"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","lib_lo","lib_hi","n_per_group","median_lib"
11911,125,122,3,1720,0.0709302325581395,0.976,0.024,0.1,0.236934351244002,0,0,0,58,3834,0.985133020344288,"TMMwsp",TRUE,FALSE,1.36974299061546,"fix_filter",7,2,3e+05,9e+05,5,578763
7950,127,125,2,1720,0.0726744186046512,0.984251968503937,0.015748031496063,0.1,0.228239624618455,0,0,0,58,4144,0.986003861003861,"TMMwsp",TRUE,FALSE,0.828198780696512,"ablate_filter",7,2,3e+05,9e+05,5,578763
14404,173,162,11,1720,0.0941860465116279,0.936416184971098,0.0635838150289017,0.1,0.282761411338423,0,0,0,80,3450,0.979130434782609,"TMMwsp",TRUE,FALSE,1.06256521648791,"ctc_pipeline",7,3,1e+06,3e+06,5,1576398.5
14404,173,162,11,1720,0.0941860465116279,0.936416184971098,0.0635838150289017,0.1,0.282958671369997,0,0,0,80,3450,0.979130434782609,"TMMwsp",TRUE,FALSE,1.06256521648791,"fix_filter",7,3,1e+06,3e+06,5,1576398.5
10032,191,176,15,1720,0.102325581395349,0.921465968586387,0.0785340314136126,0.1,0.269039112404031,0,0,0,80,3770,0.978779840848806,"TMMwsp",TRUE,FALSE,0.68550550932529,"ablate_filter",7,3,1e+06,3e+06,5,1576398.5
17741,327,316,11,1720,0.183720930232558,0.966360856269113,0.0336391437308868,0.1,0.472563553737119,0.116666666666667,0.0125944584382872,0,120,2350,0.993191489361702,"TMMwsp",TRUE,FALSE,0.678362533644931,"ctc_pipeline",7,4,5e+06,1.5e+07,5,11864064.5
17456,332,320,12,1720,0.186046511627907,0.963855421686747,0.036144578313253,0.1,0.472679973712127,0.125,0.0125944584382872,0,120,2713,0.99152230003686,"TMMwsp",TRUE,FALSE,0.669810801395077,"fix_filter",7,4,5e+06,1.5e+07,5,11864064.5
14251,339,323,16,1720,0.187790697674419,0.952802359882006,0.0471976401179941,0.1,0.450458202516941,0.125,0.0125944584382872,2,120,2997,0.970303636970304,"TMMwsp",TRUE,FALSE,0.513060192356189,"ablate_filter",7,4,5e+06,1.5e+07,5,11864064.5
18806,694,651,43,1720,0.378488372093023,0.938040345821326,0.0619596541786743,0.1,0.616224616281739,1,0.084788029925187,0,120,823,1,"TMMwsp",TRUE,FALSE,0.436558582584244,"ctc_pipeline",7,5,2e+07,6e+07,5,38454141.5
18434,698,654,44,1720,0.380232558139535,0.936962750716332,0.0630372492836676,0.1,0.615157951838243,1,0.084788029925187,0,120,1841,1,"TMMwsp",TRUE,FALSE,0.426337596080432,"fix_filter",7,5,2e+07,6e+07,5,38454141.5
