"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","exclusive_cpm","n_per_group","median_lib"
9105,165,157,8,1720,0.0912790697674419,0.951515151515152,0.0484848484848485,0.1,0.29842502695582,0.075,0,0,97,0,NA,"TMMwsp",TRUE,FALSE,1.16717377201496,"ablate_exclusive",4,6,10,5,947692
4819,153,149,4,1720,0.0866279069767442,0.973856209150327,0.0261437908496732,0.05,0.23093507340764,0.0583333333333333,0,0,18,0,NA,"TMM",TRUE,FALSE,0.734992874826317,"edger_default",4,6,10,5,947692
12116,233,225,8,1720,0.130813953488372,0.965665236051502,0.0343347639484979,0.1,0.33277880205091,0.683333333333333,0,3,120,3669,0.995094031071137,"TMMwsp",TRUE,FALSE,1.29229561227728,"ctc_pipeline",4,7,20,5,865371.5
8447,267,253,14,1720,0.147093023255814,0.947565543071161,0.052434456928839,0.1,0.314801984875298,0.733333333333333,0,0,102,0,NA,"TMMwsp",TRUE,FALSE,1.23084132585132,"ablate_exclusive",4,7,20,5,865371.5
4152,215,208,7,1720,0.12093023255814,0.967441860465116,0.0325581395348837,0.05,0.261476073267585,0.466666666666667,0,0,57,0,NA,"TMM",TRUE,FALSE,0.735800628411314,"edger_default",4,7,20,5,865371.5
12737,272,255,17,1720,0.148255813953488,0.9375,0.0625,0.1,0.333135684657057,1,0,0,120,3563,1,"TMMwsp",TRUE,FALSE,1.24442256452411,"ctc_pipeline",4,8,50,5,853205
9174,301,276,25,1720,0.16046511627907,0.916943521594684,0.0830564784053156,0.1,0.321360190183254,1,0,0,120,0,NA,"TMMwsp",TRUE,FALSE,1.1879626165706,"ablate_exclusive",4,8,50,5,853205
4794,275,259,16,1720,0.150581395348837,0.941818181818182,0.0581818181818182,0.05,0.292136842421893,0.991666666666667,0,0,119,0,NA,"TMM",TRUE,FALSE,0.740262277314702,"edger_default",4,8,50,5,853205
12099,99,97,2,1720,0.0563953488372093,0.97979797979798,0.0202020202020202,0.1,0.239172535194608,0,0,0,3,3724,0.999194414607948,"TMMwsp",TRUE,FALSE,1.2987767299144,"ctc_pipeline",5,1,0.1,5,633482.5
8375,110,106,4,1720,0.0616279069767442,0.963636363636364,0.0363636363636364,0.1,0.229893748177198,0,0,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.23063312553615,"ablate_exclusive",5,1,0.1,5,633482.5
4135,101,100,1,1720,0.0581395348837209,0.99009900990099,0.0099009900990099,0.05,0.209061842940646,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.739223878601218,"edger_default",5,1,0.1,5,633482.5
12763,142,137,5,1720,0.0796511627906977,0.964788732394366,0.0352112676056338,0.1,0.268676041084258,0,0.00256410256410256,0,40,3609,0.9889165973954,"TMMwsp",TRUE,FALSE,1.20650502804137,"ctc_pipeline",5,2,0.5,5,909456.5
9154,156,149,7,1720,0.0866279069767442,0.955128205128205,0.0448717948717949,0.1,0.257533949608284,0,0.00256410256410256,0,0,0,NA,"TMMwsp",TRUE,FALSE,1.14561502319555,"ablate_exclusive",5,2,0.5,5,909456.5
4951,145,140,5,1720,0.0813953488372093,0.96551724137931,0.0344827586206897,0.05,0.231197398786794,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.71427151063556,"edger_default",5,2,0.5,5,909456.5
12563,118,116,2,1720,0.0674418604651163,0.983050847457627,0.0169491525423729,0.1,0.245073440483011,0,0,0,66,3627,0.984284532671629,"TMMwsp",TRUE,FALSE,1.286430980642,"ctc_pipeline",5,3,1,5,982437
8936,139,129,10,1720,0.075,0.928057553956835,0.0719424460431655,0.1,0.230935780362047,0,0,0,9,0,NA,"TMMwsp",TRUE,FALSE,1.22969563552315,"ablate_exclusive",5,3,1,5,982437
4603,131,123,8,1720,0.0715116279069767,0.938931297709924,0.0610687022900763,0.05,0.208194263990519,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.746799269780966,"edger_default",5,3,1,5,982437
12385,133,128,5,1720,0.0744186046511628,0.962406015037594,0.037593984962406,0.1,0.261132899171523,0,0,0,90,3654,0.978379857690203,"TMMwsp",TRUE,FALSE,1.29825936421187,"ctc_pipeline",5,4,2,5,905121.5
8731,142,133,9,1720,0.0773255813953488,0.936619718309859,0.0633802816901408,0.1,0.246581633012371,0,0,0,11,0,NA,"TMMwsp",TRUE,FALSE,1.2397666762874,"ablate_exclusive",5,4,2,5,905121.5
4454,138,130,8,1720,0.0755813953488372,0.942028985507246,0.0579710144927536,0.05,0.215738747194186,0,0,0,0,0,NA,"TMM",TRUE,FALSE,0.747959517168114,"edger_default",5,4,2,5,905121.5
12748,128,122,6,1720,0.0709302325581395,0.953125,0.046875,0.1,0.284158904229227,0,0,0,106,3717,0.982243744955609,"TMMwsp",TRUE,FALSE,1.29998670728308,"ctc_pipeline",5,5,5,5,790864
9031,147,136,11,1720,0.0790697674418605,0.925170068027211,0.0748299319727891,0.1,0.260772676921634,0,0,0,40,0,NA,"TMMwsp",TRUE,FALSE,1.24363593772973,"ablate_exclusive",5,5,5,5,790864
4603,132,127,5,1720,0.0738372093023256,0.962121212121212,0.0378787878787879,0.05,0.213673046468454,0,0,0,1,0,NA,"TMM",TRUE,FALSE,0.765172343321353,"edger_default",5,5,5,5,790864
12355,124,119,5,1720,0.0691860465116279,0.959677419354839,0.0403225806451613,0.1,0.286191123069963,0.0333333333333333,0,0,117,3745,0.989052069425901,"TMMwsp",TRUE,FALSE,1.32318192555229,"ctc_pipeline",5,6,10,5,890677
8610,141,134,7,1720,0.077906976744186,0.950354609929078,0.049645390070922,0.1,0.264393315916093,0.05,0,0,76,0,NA,"TMMwsp",TRUE,FALSE,1.25918420485077,"ablate_exclusive",5,6,10,5,890677
4286,137,131,6,1720,0.0761627906976744,0.956204379562044,0.0437956204379562,0.05,0.214145739942682,0.0416666666666667,0,0,9,0,NA,"TMM",TRUE,FALSE,0.761270214121896,"edger_default",5,6,10,5,890677
12181,176,170,6,1720,0.0988372093023256,0.965909090909091,0.0340909090909091,0.1,0.303830170743133,0.416666666666667,0,0,120,3657,0.995351380913317,"TMMwsp",TRUE,FALSE,1.30846884764129,"ctc_pipeline",5,7,20,5,755602.5
8524,199,190,9,1720,0.11046511627907,0.954773869346734,0.0452261306532663,0.1,0.287883911123064,0.45,0,0,103,0,NA,"TMMwsp",TRUE,FALSE,1.24698396798839,"ablate_exclusive",5,7,20,5,755602.5
4235,174,168,6,1720,0.0976744186046512,0.96551724137931,0.0344827586206897,0.05,0.242151522668316,0.358333333333333,0,0,53,0,NA,"TMM",TRUE,FALSE,0.752641198306378,"edger_default",5,7,20,5,755602.5
