"arm","perm","mode","n_tested","n_significant","batch_in_model","failed"
"ablate_exclusive",28,"balanced",10407,1255,TRUE,FALSE
"ablate_tmmwsp",28,"balanced",13239,1747,TRUE,FALSE
"ablate_priorcount",28,"balanced",13239,1623,TRUE,FALSE
"ablate_fdr",28,"balanced",13239,978,TRUE,FALSE
"ablate_shrinkfloor",28,"balanced",13239,1623,TRUE,FALSE
"ablate_lowinput",28,"balanced",13239,1623,TRUE,FALSE
"batch_removed",28,"balanced",8622,2697,FALSE,FALSE
"batch_ignored",28,"balanced",8622,3041,FALSE,FALSE
"fix_filter",28,"balanced",13188,1604,TRUE,FALSE
"ctc_pipeline",29,"balanced",13134,938,TRUE,FALSE
"edger_default",29,"balanced",6156,223,TRUE,FALSE
"ablate_filter",29,"balanced",8889,450,TRUE,FALSE
"ablate_exclusive",29,"balanced",10407,796,TRUE,FALSE
"ablate_tmmwsp",29,"balanced",13134,1002,TRUE,FALSE
"ablate_priorcount",29,"balanced",13134,938,TRUE,FALSE
"ablate_fdr",29,"balanced",13134,467,TRUE,FALSE
"ablate_shrinkfloor",29,"balanced",13134,938,TRUE,FALSE
"ablate_lowinput",29,"balanced",13134,938,TRUE,FALSE
"batch_removed",29,"balanced",8520,2446,FALSE,FALSE
"batch_ignored",29,"balanced",8520,2753,FALSE,FALSE
"fix_filter",29,"balanced",13083,941,TRUE,FALSE
"ctc_pipeline",30,"balanced",13212,1204,TRUE,FALSE
"edger_default",30,"balanced",6156,230,TRUE,FALSE
"ablate_filter",30,"balanced",8964,625,TRUE,FALSE
"ablate_exclusive",30,"balanced",10407,983,TRUE,FALSE
"ablate_tmmwsp",30,"balanced",13212,1287,TRUE,FALSE
"ablate_priorcount",30,"balanced",13212,1204,TRUE,FALSE
"ablate_fdr",30,"balanced",13212,527,TRUE,FALSE
"ablate_shrinkfloor",30,"balanced",13212,1204,TRUE,FALSE
"ablate_lowinput",30,"balanced",13212,1204,TRUE,FALSE
"batch_removed",30,"balanced",8595,2621,FALSE,FALSE
"batch_ignored",30,"balanced",8595,2836,FALSE,FALSE
"fix_filter",30,"balanced",13161,1200,TRUE,FALSE
"ctc_pipeline",31,"balanced",13256,1265,TRUE,FALSE
"edger_default",31,"balanced",6156,402,TRUE,FALSE
"ablate_filter",31,"balanced",9009,711,TRUE,FALSE
"ablate_exclusive",31,"balanced",10407,1066,TRUE,FALSE
"ablate_tmmwsp",31,"balanced",13256,1477,TRUE,FALSE
"ablate_priorcount",31,"balanced",13256,1265,TRUE,FALSE
"ablate_fdr",31,"balanced",13256,629,TRUE,FALSE
"ablate_shrinkfloor",31,"balanced",13256,1265,TRUE,FALSE
"ablate_lowinput",31,"balanced",13256,1265,TRUE,FALSE
"batch_removed",31,"balanced",8640,2743,FALSE,FALSE
"batch_ignored",31,"balanced",8640,2953,FALSE,FALSE
"fix_filter",31,"balanced",13207,1256,TRUE,FALSE
"ctc_pipeline",32,"balanced",13126,1032,TRUE,FALSE
"edger_default",32,"balanced",6156,224,TRUE,FALSE
"ablate_filter",32,"balanced",8877,579,TRUE,FALSE
