"n_tested","n_significant","true_positives","false_positives","n_true_de","sensitivity","precision","empirical_fdr","nominal_fdr","avg_precision","sens_exclusive","sens_low_abund","sig_excl_rescued","n_excl_kept","n_exclusive_added","excl_admit_fpr","norm_used","batch_in_model","shrink_applied","common_disp","arm","rep","scenario_row","purity_cond_diff","purity_mean","purity_sd","n_per_group","median_lib"
16622,32,31,1,1720,0.0180232558139535,0.96875,0.03125,0.1,0.150164326516776,0,0,0,87,2534,0.990134175217048,"TMMwsp",TRUE,FALSE,1.4382186980894,"purity_covariate",6,4,0.3,0.6,0.15,5,720811
15365,28,25,3,1720,0.0145348837209302,0.892857142857143,0.107142857142857,0.1,0.140085105269854,0,0,0,74,3327,0.992185151788398,"TMMwsp",TRUE,FALSE,1.31724818254663,"purity_filtered",6,4,0.3,0.6,0.15,5,720811
15897,1804,225,1579,1720,0.130813953488372,0.124722838137472,0.875277161862528,0.1,0.125889398385579,0.0583333333333333,0.071599045346062,0,89,3427,0.987744382842136,"TMMwsp",TRUE,FALSE,1.45369973187003,"purity_ignored",6,5,0.4,0.6,0.15,5,913416.5
16933,16,16,0,1720,0.00930232558139535,1,0,0.1,0.144898994537204,0,0,0,95,2437,0.987689782519491,"TMMwsp",TRUE,FALSE,1.41750975208586,"purity_covariate",6,5,0.4,0.6,0.15,5,913416.5
15560,861,155,706,1720,0.0901162790697674,0.180023228803717,0.819976771196283,0.1,0.132991019817085,0.0416666666666667,0.0334128878281623,0,90,3649,0.987393806522335,"TMMwsp",TRUE,FALSE,1.33699830304356,"purity_filtered",6,5,0.4,0.6,0.15,5,913416.5
15153,25,25,0,1720,0.0145348837209302,1,0,0.1,0.186562029059487,0,0,0,73,3752,0.990671641791045,"TMMwsp",TRUE,FALSE,1.63263965284279,"purity_ignored",7,1,0,0.6,0.15,5,733876.5
16329,42,40,2,1720,0.0232558139534884,0.952380952380952,0.0476190476190476,0.1,0.176831106621582,0,0,0,79,2801,0.989646554801856,"TMMwsp",TRUE,FALSE,1.52033068299421,"purity_covariate",7,1,0,0.6,0.15,5,733876.5
14942,15,15,0,1720,0.00872093023255814,1,0,0.1,0.16293043151472,0,0,0,66,3455,0.991027496382055,"TMMwsp",TRUE,FALSE,1.56771828330334,"purity_filtered",7,1,0,0.6,0.15,5,733876.5
15691,55,54,1,1720,0.0313953488372093,0.981818181818182,0.0181818181818182,0.1,0.208424233486951,0,0,0,84,3310,0.986102719033233,"TMMwsp",TRUE,FALSE,1.42572248165143,"purity_ignored",7,2,0.1,0.6,0.15,5,974268.5
16777,55,54,1,1720,0.0313953488372093,0.981818181818182,0.0181818181818182,0.1,0.203191884308881,0,0,0,88,2482,0.98549556809025,"TMMwsp",TRUE,FALSE,1.38038558396652,"purity_covariate",7,2,0.1,0.6,0.15,5,974268.5
15855,38,37,1,1720,0.0215116279069767,0.973684210526316,0.0263157894736842,0.1,0.178811151528629,0,0,0,73,2933,0.989430617115581,"TMMwsp",TRUE,FALSE,1.313238714951,"purity_filtered",7,2,0.1,0.6,0.15,5,974268.5
16014,330,106,224,1720,0.0616279069767442,0.321212121212121,0.678787878787879,0.1,0.144059947646543,0.00833333333333333,0.010126582278481,0,86,3253,0.9898555179834,"TMMwsp",TRUE,FALSE,1.25512588477672,"purity_ignored",7,3,0.2,0.6,0.15,5,913043
17096,30,29,1,1720,0.0168604651162791,0.966666666666667,0.0333333333333333,0.1,0.143501894581262,0,0,0,93,2338,0.990590248075278,"TMMwsp",TRUE,FALSE,1.32404666407999,"purity_covariate",7,3,0.2,0.6,0.15,5,913043
16530,77,57,20,1720,0.0331395348837209,0.74025974025974,0.25974025974026,0.1,0.146163006445097,0,0,0,89,2713,0.992259491338002,"TMMwsp",TRUE,FALSE,1.27891853820958,"purity_filtered",7,3,0.2,0.6,0.15,5,913043
15008,59,42,17,1720,0.0244186046511628,0.711864406779661,0.288135593220339,0.1,0.138527796094946,0,0,0,84,3673,0.989381976585897,"TMMwsp",TRUE,FALSE,1.67566255656951,"purity_ignored",7,4,0.3,0.6,0.15,5,827457
